0,136.054,137.916,-0.971964,1.96524,1.86314,0.560727
1,136.109,137.835,-0.934185,1.98823,2.05735,0.755577
2,136.169,137.755,-0.900147,2.01849,2.10809,0.680751
3,136.231,137.676,-0.874597,2.0446,2.12033,0.510999
4,136.297,137.597,-0.850315,2.04806,2.05794,0.485653
5,136.364,137.52,-0.834903,2.05157,2.06154,0.308243
6,136.433,137.444,-0.818516,2.06593,2.10667,0.327725
7,136.504,137.369,-0.804569,2.06995,2.08127,0.278947
8,136.576,137.294,-0.791292,2.06271,2.04241,0.265543
9,136.648,137.221,-0.782912,2.05781,2.04399,0.167594
10,136.721,137.148,-0.771145,2.05708,2.05504,0.235334
11,136.795,137.077,-0.756844,2.06185,2.07533,0.286021
12,136.87,137.006,-0.737201,2.06527,2.07492,0.392869
13,136.946,136.936,-0.722524,2.05943,2.04299,0.293529
14,137.023,136.868,-0.712553,2.04557,2.00644,0.199425
15,137.101,136.801,-0.700976,2.02907,1.98206,0.231532
16,137.178,136.736,-0.691484,2.0112,1.95971,0.18985
17,137.256,136.672,-0.68127,1.99978,1.96649,0.204281
18,137.333,136.609,-0.668045,1.98696,1.9493,0.264491
19,137.411,136.547,-0.656665,1.9812,1.96414,0.227611
20,137.49,136.487,-0.649684,1.98026,1.97748,0.139616
21,137.569,136.427,-0.642553,1.9776,1.96967,0.142615
22,137.648,136.368,-0.639919,1.97841,1.98083,0.0526895
23,137.727,136.309,-0.639777,1.98061,1.98718,0.00282696
24,137.807,136.25,-0.632947,1.9803,1.97937,0.136616
25,137.887,136.191,-0.62865,1.9874,2.00851,0.0859393
26,137.967,136.133,-0.624317,1.99349,2.01152,0.0866577
27,138.048,136.074,-0.618851,2.00021,2.02006,0.109318
28,138.129,136.016,-0.610339,2.01302,2.05063,0.170236
29,138.212,135.959,-0.607835,2.02343,2.05373,0.0500735
30,138.295,135.901,-0.601471,2.02984,2.04837,0.12728
31,138.378,135.843,-0.592051,2.04007,2.06954,0.188406
32,138.463,135.786,-0.580436,2.04274,2.05038,0.232299
33,138.549,135.73,-0.571086,2.0445,2.04954,0.18701
34,138.635,135.675,-0.564349,2.03734,2.01693,0.134732
35,138.721,135.621,-0.554756,2.03845,2.04161,0.191861
36,138.807,135.567,-0.548728,2.03202,2.01361,0.120569
37,138.894,135.514,-0.54528,2.03128,2.02914,0.0689444
38,138.981,135.461,-0.540687,2.03214,2.03462,0.091873
